[ 2025-08-26 02:04:14,034 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-26 02:04:22,203 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-26 02:04:22,204 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-26 02:04:22,204 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-26 02:04:22,279 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-26 02:04:22,280 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-26 02:04:22,293 ] 27 root - INFO - Initiate the data Validation
[ 2025-08-26 02:04:22,318 ] 32 root - INFO - Required number of columns:2
[ 2025-08-26 02:04:22,320 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-26 02:04:22,320 ] 32 root - INFO - Required number of columns:2
[ 2025-08-26 02:04:22,320 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-26 02:04:22,513 ] 29 root - INFO - data Validation Completed
[ 2025-08-26 02:04:22,513 ] 33 root - INFO - data Transformation started
[ 2025-08-26 02:04:22,513 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-26 02:04:22,514 ] 65 root - INFO - Starting data transformation
[ 2025-08-26 02:04:22,535 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-26 02:04:22,536 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-26 02:04:22,547 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-26 02:04:22,549 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-26 02:04:22,549 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-26 02:04:22,551 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-26 02:04:22,552 ] 37 root - INFO - data Transformation completed
[ 2025-08-26 02:04:22,552 ] 39 root - INFO - Model Training sstared
